show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s0001,Movie,Stranger Nights,Priya Patel,"Actor B, Actor F",India,"November 24, 2023",1985,G,114 min,Dramas,A gripping tale of love and betrayal.
s0002,Movie,Midnight City 78,Alex Kim,"Actor F, Actor G",,"July 8, 2022",2017,TV-14,60 min,Documentaries,A heartfelt comedy about friendship.
s0003,TV Show,Family Ties,Priya Patel,"Actor A, Actor G, Actor D",India,"June 28, 2020",2018,TV-14,1 Seasons,Sci-Fi & Fantasy,A thrilling chase across continents.
s0004,Movie,The Last Chef 38,Liam O'Connor,"Actor F, Actor A",United States,"November 8, 2019",1985,TV-PG,89 min,Comedies,A documentary on climate change and hope.
s0005,TV Show,Digital Wars,Liam O'Connor,"Actor C, Actor G",Canada,"November 9, 2016",2018,NR,3 Seasons,Action & Adventure,An inspiring journey through the world of tech.
s0006,TV Show,The Last Chef,Priya Patel,"Actor G, Actor A, Actor B",United States,"June 13, 2019",1984,PG-13,10 Seasons,Crime TV Shows,An inspiring journey through the world of tech.
s0007,TV Show,The Last Chef,,"Actor C, Actor B",Canada,"December 18, 2023",1996,NR,10 Seasons,Kids' TV,A thrilling chase across continents.
s0008,TV Show,Quantum Leap 18,,Actor G,United States,"February 5, 2017",2023,R,10 Seasons,Comedies,A documentary on climate change and hope.
s0009,TV Show,Silent Echoes,Chen Wei,Actor F,India,"November 18, 2019",2021,TV-14,2 Seasons,Romantic Movies,A documentary on climate change and hope.
s0010,Movie,Digital Wars 93,Chen Wei,"Actor E, Actor A",France,"November 17, 2024",1992,PG-13,107 min,Documentaries,A thrilling chase across continents.
s0011,Movie,Silent Echoes,Alex Kim,Actor C,France,"April 2, 2018",2016,TV-MA,70 min,Sci-Fi & Fantasy,An investigative look into modern crime.
s0012,Movie,The Long Road,John Smith,"Actor E, Actor B, Actor C, Actor D",Canada,"September 25, 2018",1999,R,145 min,Crime TV Shows,A documentary on climate change and hope.
s0013,TV Show,Cooking with Stars 9,Liam O'Connor,Actor E,,"April 19, 2018",1980,TV-MA,1 Seasons,Action & Adventure,A gripping tale of love and betrayal.
s0014,Movie,Family Ties 31,Chen Wei,"Actor B, Actor E, Actor G, Actor D",Canada,"August 26, 2021",1992,TV-MA,72 min,Kids' TV,A family learns the meaning of sacrifice.
s0015,TV Show,Office Romance,Alex Kim,Actor A,Spain,"December 11, 2016",1995,PG-13,4 Seasons,Sci-Fi & Fantasy,An inspiring journey through the world of tech.
s0016,TV Show,Galaxy Quest,Priya Patel,Actor D,,"February 2, 2023",1980,TV-MA,4 Seasons,Documentaries,A documentary on climate change and hope.
s0017,TV Show,Undercover Agent 52,Alex Kim,"Actor D, Actor A",Spain,"May 26, 2022",1998,R,9 Seasons,Sci-Fi & Fantasy,An inspiring journey through the world of tech.
s0018,Movie,Ocean Secrets 8,Alex Kim,"Actor A, Actor G, Actor E",Australia,"September 28, 2023",1990,TV-MA,125 min,Comedies,An investigative look into modern crime.
s0019,Movie,The Final Episode,Priya Patel,"Actor A, Actor E, Actor B, Actor G",India,"July 22, 2024",2016,G,100 min,Romantic Movies,An inspiring journey through the world of tech.
s0020,TV Show,Lost in Translation,John Smith,"Actor D, Actor C, Actor A",United States,"August 20, 2024",1986,TV-MA,9 Seasons,Action & Adventure,A thrilling chase across continents.
s0021,TV Show,Hidden Truths,Maria Lopez,"Actor C, Actor G",United Kingdom,"August 27, 2023",1999,G,9 Seasons,Dramas,A heartfelt comedy about friendship.
s0022,TV Show,Cooking with Stars,John Smith,"Actor A, Actor G, Actor E",United Kingdom,"May 10, 2024",1993,NR,6 Seasons,Action & Adventure,A heartfelt comedy about friendship.
